date,model,model_rmse_kw,seven_day_rmse_kw,rmse_difference_model_minus_7day_kw,model_wins
2025-04-27,DLinear,835.38402787,249.48225690,585.90177097,False
2025-04-28,DLinear,896.99156116,621.95285796,275.03870320,False
2025-04-29,DLinear,960.84796902,307.93488968,652.91307933,False
2025-04-30,DLinear,991.70577761,344.52213931,647.18363830,False
2025-05-01,DLinear,850.89988478,231.85838084,619.04150394,False
2025-05-02,DLinear,778.10151896,552.70918918,225.39232978,False
2025-05-03,DLinear,833.12488687,212.32667784,620.79820903,False
2025-05-04,DLinear,1019.15435908,319.99728507,699.15707401,False
2025-05-05,DLinear,757.76119275,327.82669927,429.93449347,False
2025-05-06,DLinear,858.43671332,366.30955358,492.12715973,False
2025-05-07,DLinear,785.85506372,191.30824051,594.54682321,False
2025-05-08,DLinear,872.86077957,311.37319657,561.48758300,False
2025-05-09,DLinear,805.12517275,225.22414438,579.90102837,False
2025-05-10,DLinear,752.18571288,361.54430132,390.64141156,False
2025-05-11,DLinear,884.03695769,268.26969860,615.76725908,False
2025-05-12,DLinear,1090.86704214,495.54483791,595.32220423,False
2025-05-13,DLinear,917.38890577,157.21202884,760.17687693,False
2025-05-14,DLinear,967.20683852,239.19020502,728.01663351,False
2025-05-15,DLinear,874.37999832,263.72023765,610.65976067,False
2025-05-16,DLinear,1095.47302607,406.16763323,689.30539283,False
2025-05-17,DLinear,955.20160159,351.83925726,603.36234432,False
2025-05-18,DLinear,982.29315895,303.32519842,678.96796053,False
2025-05-19,DLinear,1097.22946975,477.67983731,619.54963244,False
2025-05-20,DLinear,938.12440929,313.97194961,624.15245969,False
2025-05-21,DLinear,993.97578315,385.08368826,608.89209489,False
2025-05-22,DLinear,962.07332182,178.98508946,783.08823236,False
2025-05-23,DLinear,934.12774014,195.50958291,738.61815723,False
2025-05-24,DLinear,1044.44290910,344.23485232,700.20805678,False
2025-05-25,DLinear,1049.52841626,255.15712627,794.37128998,False
2025-05-26,DLinear,930.60119774,446.36740255,484.23379519,False
2025-05-27,DLinear,1034.06620791,249.98904661,784.07716130,False
2025-05-28,DLinear,1017.31152766,412.37411150,604.93741616,False
2025-05-29,DLinear,897.79367493,320.96144855,576.83222638,False
2025-05-30,DLinear,863.23415449,338.35584457,524.87830992,False
2025-05-31,DLinear,879.86693762,308.21699605,571.64994156,False
2025-06-01,DLinear,1037.39916907,828.65733855,208.74183051,False
2025-06-02,DLinear,735.49903112,573.16913100,162.32990012,False
2025-06-03,DLinear,794.67834816,379.28780308,415.39054508,False
2025-06-04,DLinear,827.22088626,435.01046681,392.21041946,False
2025-06-05,DLinear,712.58333072,384.17033328,328.41299744,False
2025-06-06,DLinear,784.57600819,615.59290347,168.98310472,False
2025-06-07,DLinear,790.13406146,492.78890190,297.34515956,False
2025-06-08,DLinear,1026.40733610,515.41364098,510.99369512,False
2025-06-09,DLinear,712.43000334,253.08762382,459.34237952,False
2025-06-10,DLinear,721.96225723,250.88331465,471.07894259,False
2025-06-11,DLinear,704.65633504,396.97502270,307.68131235,False
2025-06-12,DLinear,731.84149849,179.72354462,552.11795387,False
2025-06-13,DLinear,621.62442879,341.66584018,279.95858861,False
2025-06-14,DLinear,802.08879534,288.41662377,513.67217157,False
2025-06-15,DLinear,827.25793614,251.08401785,576.17391829,False
2025-06-16,DLinear,700.97910772,212.10015062,488.87895710,False
2025-06-17,DLinear,836.80125797,384.59975239,452.20150558,False
2025-06-18,DLinear,786.42172376,220.61935078,565.80237298,False
2025-06-19,DLinear,856.84099669,427.66011335,429.18088333,False
2025-06-20,DLinear,834.73826351,255.02922311,579.70904040,False
2025-06-21,DLinear,971.64179936,550.71241801,420.92938135,False
2025-06-22,DLinear,955.77584662,299.24300203,656.53284459,False
2025-06-23,DLinear,869.47664517,246.84925397,622.62739120,False
2025-06-24,DLinear,755.30994897,543.17535761,212.13459136,False
2025-06-25,DLinear,841.37202140,355.41046411,485.96155729,False
2025-06-26,DLinear,807.04138385,310.86529481,496.17608905,False
2025-06-27,DLinear,798.34119200,271.50172927,526.83946273,False
2025-06-28,DLinear,809.00745603,344.49876465,464.50869138,False
2025-06-29,DLinear,840.25821439,307.48519854,532.77301586,False
2025-06-30,DLinear,738.40138361,272.56727568,465.83410794,False
2025-07-01,DLinear,950.87243619,407.88935048,542.98308571,False
2025-07-02,DLinear,1181.70741826,641.72694077,539.98047748,False
2025-07-03,DLinear,866.25204535,208.73447334,657.51757201,False
2025-07-04,DLinear,1046.19815603,511.78625920,534.41189683,False
2025-07-05,DLinear,1019.50843046,441.39441197,578.11401848,False
2025-07-06,DLinear,821.92246123,325.06542830,496.85703293,False
2025-07-07,DLinear,1030.44450559,332.85850155,697.58600404,False
2025-07-08,DLinear,875.66037598,339.41650783,536.24386815,False
2025-07-09,DLinear,889.64394691,259.73748174,629.90646517,False
2025-07-10,DLinear,934.64622652,248.05253027,686.59369625,False
2025-07-11,DLinear,864.41899193,470.60733596,393.81165597,False
2025-07-12,DLinear,816.44270713,218.08518073,598.35752639,False
2025-07-13,DLinear,1068.06686533,452.10517926,615.96168607,False
2025-07-14,DLinear,972.59470190,259.87138186,712.72332004,False
2025-07-15,DLinear,1010.95625377,441.05015609,569.90609768,False
2025-07-16,DLinear,974.39412809,258.61998155,715.77414655,False
2025-07-17,DLinear,836.18058649,232.38864017,603.79194632,False
2025-07-18,DLinear,844.74605561,378.83290246,465.91315315,False
2025-07-19,DLinear,945.00988596,213.47976591,731.53012005,False
2025-07-20,DLinear,903.52845086,202.63003711,700.89841375,False
2025-07-21,DLinear,816.78613413,258.36271121,558.42342292,False
2025-07-22,DLinear,927.02570420,348.72278588,578.30291832,False
2025-07-23,DLinear,825.88472874,267.37214084,558.51258791,False
2025-07-24,DLinear,910.54651366,344.74159138,565.80492229,False
2025-07-25,DLinear,896.25307139,181.72565878,714.52741261,False
2025-07-26,DLinear,879.85111893,260.10592878,619.74519015,False
2025-07-27,DLinear,769.71926462,269.53567299,500.18359162,False
2025-07-28,DLinear,779.80906463,400.05699683,379.75206780,False
2025-07-29,DLinear,879.12128650,344.25978423,534.86150227,False
2025-07-30,DLinear,832.17425241,307.41564310,524.75860931,False
2025-07-31,DLinear,798.61056548,202.70822834,595.90233713,False
2025-08-01,DLinear,1179.09872089,534.64886783,644.44985307,False
2025-08-02,DLinear,1092.22690553,488.17103580,604.05586973,False
2025-08-03,DLinear,1313.24188516,684.67786856,628.56401660,False
2025-08-04,DLinear,1118.65908429,448.09131478,670.56776951,False
2025-08-05,DLinear,1016.26159283,258.84936711,757.41222572,False
2025-08-06,DLinear,894.33162044,340.62193225,553.70968820,False
2025-08-07,DLinear,1022.74298353,288.39606973,734.34691380,False
2025-08-08,DLinear,1028.66785142,343.03287918,685.63497224,False
2025-08-09,DLinear,927.72793902,271.42533096,656.30260806,False
2025-08-10,DLinear,946.45302491,320.01638697,626.43663794,False
2025-08-11,DLinear,920.69196743,245.29907174,675.39289569,False
2025-08-12,DLinear,905.18741509,327.25673492,577.93068017,False
2025-08-13,DLinear,948.29386686,266.09797782,682.19588904,False
2025-08-14,DLinear,866.46323854,242.39440988,624.06882866,False
2025-08-15,DLinear,938.64220552,240.69330478,697.94890074,False
2025-08-16,DLinear,1016.23409872,301.17406083,715.06003789,False
2025-08-17,DLinear,966.09876985,257.62693949,708.47183036,False
2025-08-18,DLinear,899.22266648,249.99568922,649.22697726,False
2025-08-19,DLinear,909.96465131,213.52559455,696.43905675,False
2025-08-20,DLinear,816.21498111,545.81747948,270.39750163,False
2025-08-21,DLinear,918.30510619,296.18734004,622.11776615,False
2025-08-22,DLinear,874.42041383,271.78403985,602.63637399,False
2025-08-23,DLinear,815.17281257,311.65757758,503.51523499,False
2025-08-24,DLinear,938.44502844,377.93087583,560.51415261,False
2025-08-25,DLinear,777.74978722,421.94533783,355.80444939,False
