model,daily_rmse_mean_kw,bootstrap_95_lower_kw,bootstrap_95_upper_kw,daily_samples
7-day mean,280.94591493,268.26308533,294.31739692,334
Seasonal,316.93470934,302.77252799,330.54132867,334
Seasonal + Low-Rank,316.93470934,303.21607537,330.98654422,334
Yesterday,350.61289829,336.55266172,364.27558988,334
Last Week,388.63289234,371.47796378,406.75241292,334
Low-Rank rank 5,2941.85675164,2901.52263087,2984.23223501,334
Low-Rank rank 3,2946.33637472,2905.92434904,2987.78047016,334
Low-Rank rank 1,3100.90329062,3055.08401358,3147.52501614,334
