scope,lookback_days,hankel_rows,row_mode,rank,polynomial_degree,polynomial_ridge,analytical_mae_kw,analytical_rmse_kw,hybrid_mae_kw,hybrid_rmse_kw
january_common_origin_validation,3,144,144,1,2,5.00000000,1773.21957892,2879.90371147,1052.33975446,1728.20746812
january_common_origin_validation,3,216,half,1,2,5.00000000,1675.69963128,2872.97438796,921.53479449,1549.73190829
january_common_origin_validation,7,144,144,1,2,5.00000000,1890.78728218,2470.10360251,872.67210713,1397.55093722
january_common_origin_validation,7,504,half,1,2,5.00000000,1797.73754132,2517.76542892,864.07950903,1436.62417925
january_common_origin_validation,14,144,144,1,2,5.00000000,1968.28230112,2363.86019578,1728.18586814,2202.05096655
january_common_origin_validation,14,1008,half,1,2,5.00000000,1927.53824692,2375.38696461,1691.52137673,2210.01507181
