reference_model,comparator,n_days,reference_mean_mae,comparator_mean_mae,reference_median_mae,comparator_median_mae,mean_paired_difference,median_paired_difference,relative_mae_improvement,reference_daily_win_rate,tie_rate,wilcoxon_statistic,raw_p,fdr_adjusted_p,significant_after_fdr
7-day same-slot mean,Yesterday,334,153.399706725,185.346491527,141.354669593,180.064343403,-31.9467848024,-32.0240750493,-0.172362500845,0.766467065868,0,10415,2.74174992577e-23,3.42718740721e-23,True
7-day same-slot mean,Last Week,334,153.399706725,214.688231379,141.354669593,201.090120833,-61.288524654,-51.4692696428,-0.285476871556,0.895209580838,0,2329,9.01749562018e-48,1.5029159367e-47,True
7-day same-slot mean,SSA best config,334,153.399706725,260.833971615,141.354669593,255.461632449,-107.43426489,-106.431407039,-0.411887547564,0.955089820359,0,931,6.37239457593e-53,1.59309864398e-52,True
7-day same-slot mean,DLinear,334,153.399706725,423.397445152,141.354669593,445.804473602,-269.997738427,-259.091499668,-0.637693357668,1,0,0,1.67419213586e-56,8.37096067929e-56,True
7-day same-slot mean,PhaseStructuralFusion,334,153.399706725,170.57091268,141.354669593,158.144144219,-17.171205955,-13.8133117214,-0.100669016102,0.703592814371,0,12837,1.03256965306e-17,1.03256965306e-17,True
