risk_method,alpha,lambda,planned_purchase_energy_kwh,planned_purchase_cost_yuan,expected_scenario_emergency_energy_kwh,expected_scenario_emergency_cost_yuan,expected_operating_cost_yuan,var_cost_yuan,cvar_cost_yuan,lambda_cvar_term_yuan,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,scenario_emergency_interval_rate,realized_emergency_interval_rate,emergency_days,emergency_intervals,battery_throughput_kwh,mean_end_soc_kwh,min_soc_kwh,max_soc_kwh,mean_daily_emergency_energy_kwh,max_daily_emergency_energy_kwh,unused_planned_grid_energy_kwh,realized_pv_curtailment_kwh,runtime_seconds,solver_success,formal_days
CVaR,0.9,0,21793145.1826,13323201.2234,277524.659704,1051144.02276,14374345.2462,2541229.27039,5394358.76273,0,398161.900954,1516260.77893,14839462.0024,0.168181969395,0.222367764471,333,10695,11947016.186,7729.93545813,1200,10800,1192.10149986,14038.7544548,1513828.45283,1482358.26825,1373.4032446,334,334
CVaR,0.9,0.05,22068906.3002,13516409.5976,230817.530117,871370.440043,14387780.0376,2290221.10915,4671883.99991,233594.199995,343422.375176,1305446.6509,14821856.2485,0.143082168995,0.194236526946,333,9342,11907513.7267,7730.71863402,1200,10800,1028.21070412,13641.18929,1709390.17393,1511964.80595,1412.4687932,334,334
CVaR,0.9,0.1,22309553.143,13688981.5181,198119.094154,742476.194425,14431457.7125,1834169.89021,4036914.4487,403691.44487,306930.085675,1163373.21513,14852354.7332,0.12681262475,0.175939787092,331,8462,11862921.1383,7731.80089538,1200,10800,918.952352319,13077.3456783,1889922.70571,1540267.81742,1461.4145905,334,334
CVaR,0.9,0.2,22833598.0919,14062893.8906,142075.648134,527325.15814,14590219.0487,1168137.93853,2874801.67662,574960.335324,242775.061815,918453.007617,14981346.8982,0.0981050399202,0.143546240852,326,6904,11773684.2643,7733.1688464,1200,10800,726.87144256,12109.5137301,2309377.43633,1590070.41851,1454.4775585,334,334
CVaR,0.9,0.5,24017425.2549,14907937.2612,64797.5834024,235972.88909,15143910.1503,474065.041575,1114982.57843,557491.289215,153376.047062,577883.614165,15485820.8754,0.055621257485,0.0958915502329,306,4612,11588731.815,7735.18035725,1200,10800,459.209721743,10249.8721112,3331490.56101,1681800.34004,1450.5989342,334,334
