schedule,settlement_mode,formal_days,solver_success,planned_purchase_cost_yuan,adjustment_cost_yuan,realized_emergency_cost_yuan,realized_total_cost_yuan,adjustment_energy_kwh,adjustment_increase_energy_kwh,adjustment_decrease_energy_kwh,realized_emergency_energy_kwh
S0,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,13940071.4805461261,0.0000000000,1491221.6929733306,15431293.1735194549,0.0000000000,0.0000000000,0.0000000000,365303.8751941926
S0,ORIGINAL_00_COMMITMENT,334,334,13940071.4805461261,0.0000000000,1491221.6929733306,15431293.1735194549,0.0000000000,0.0000000000,0.0000000000,365303.8751941926
S1,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,13949394.7594766356,24822.9367468670,1358761.5802737214,15332979.2764972225,59020.9057591062,33088.2551400935,25932.6506190127,331646.0481772092
S1,ORIGINAL_00_COMMITMENT,334,334,13949394.7594766356,24822.9367468670,1358761.5802737214,15332979.2764972225,59020.9057591062,33088.2551400935,25932.6506190127,331646.0481772092
S2,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,13949374.5044421554,8799.9791383454,1238747.9890569816,15196922.4726374801,285155.6292628130,65761.2173249754,219394.4119378377,302154.9097787938
S2,ORIGINAL_00_COMMITMENT,334,334,13949374.5044421554,8534.9463648570,1238747.9890569816,15196657.4398639929,284218.9649633066,65292.8851752222,218926.0797880844,302154.9097787938
S3,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,13950661.1869513765,10654.4275110182,1238852.5030074217,15200168.1174698174,288842.7272640228,68542.0801553065,220300.6471087162,301746.8525160202
S3,ORIGINAL_00_COMMITMENT,334,334,13950661.1869513765,10388.9706389968,1238852.5030074217,15199902.6605977975,287905.3029994003,68073.3680229953,219831.9349764050,301746.8525160202
