schedule,release_hours,risk_setting,settlement_mode,formal_days,solver_success,planned_purchase_energy_kwh,planned_purchase_cost_yuan,model_expected_operating_cost_yuan,adjustment_energy_kwh,adjustment_increase_energy_kwh,adjustment_decrease_energy_kwh,adjustment_cost_yuan,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,emergency_interval_count,emergency_interval_rate,emergency_days,adjusted_interval_count,battery_throughput_kwh,mean_soc_kwh,minimum_soc_kwh,maximum_soc_kwh,final_soc_kwh,solver_runtime_seconds,maximum_scenario_power_balance_residual_kw
S0,0,lambda=0 expected-cost,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,21864275.5496781841,13940071.4805461261,15032440.6720981561,0.0000000000,0.0000000000,0.0000000000,0.0000000000,365303.8751941926,1491221.6929733306,15431293.1735194549,10410,0.2164421158,332,0,12513566.5592750423,7096.4988888594,1200.0000000000,10800.0000000000,7834.3287696161,2033.5242673998,0.0000000001
S1,"0,6",lambda=0 expected-cost,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,21886315.1471741721,13949394.7594766356,15041768.8727855645,59020.9057591062,33088.2551400935,25932.6506190127,24822.9367468670,331646.0481772092,1358761.5802737214,15332979.2764972225,9965,0.2071897871,332,1781,12536223.5599539969,7079.6362259794,1200.0000000000,10800.0000000000,7802.7401985621,3367.9584436000,0.0000000002
S2,"0,6,12",lambda=0 expected-cost,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,21886366.5781231970,13949374.5044421554,15041756.1770617310,285155.6292628130,65761.2173249754,219394.4119378377,8799.9791383454,302154.9097787938,1238747.9890569816,15196922.4726374801,9655,0.2007443446,331,3229,12572463.0002618507,7051.3880087507,1200.0000000000,10800.0000000000,7769.0441825754,3961.9121260993,0.0000000002
S3,"0,6,12,18",lambda=0 expected-cost,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,21889544.7406304255,13950661.1869513765,15043029.1934065707,288842.7272640228,68542.0801553065,220300.6471087162,10654.4275110182,301746.8525160202,1238852.5030074217,15200168.1174698174,9647,0.2005780106,331,3336,12579121.9630496949,7049.0854398308,1200.0000000000,10800.0000000000,7761.9847329769,4091.3004293999,0.0000000002
