period,method,n,mae_yuan_per_kwh,rmse_yuan_per_kwh,bias_yuan_per_kwh
validation,前一日同刻,2016,0.0853290179,0.1287458478,0.0010658234
validation,前一周同刻,2016,0.0387333829,0.0495329929,0.0095522321
validation,近7日同刻均值,2016,0.0814524235,0.1050287920,0.0054232001
validation,因果岭回归,2016,0.0381986526,0.0485596924,0.0057320769
evaluation,前一日同刻,48096,0.0843259398,0.1238371814,-0.0005953551
evaluation,前一周同刻,48096,0.0471511831,0.0653480150,-0.0001547384
evaluation,近7日同刻均值,48096,0.0826692835,0.1052650947,-0.0003280142
evaluation,因果岭回归,48096,0.0452750777,0.0624482958,-0.0044924345
