sweep,parameter_value,case_id,dispatch_case_id,capacity_kwh,initial_energy_kwh,minimum_energy_kwh,maximum_energy_kwh,maximum_charge_kw,maximum_discharge_kw,charge_efficiency,discharge_efficiency,terminal_energy_kwh,round_trip_efficiency,solver,solver_status,runtime_seconds,optimal_cost_yuan,total_grid_energy_kwh,total_charge_energy_kwh,total_discharge_energy_kwh,total_spill_energy_kwh,minimum_storage_energy_kwh,maximum_storage_energy_kwh,minimum_soc_percent,maximum_soc_percent,terminal_storage_energy_kwh,charge_period_count,discharge_period_count,baseline_grid_energy_kwh,baseline_cost_yuan,baseline_spill_energy_kwh,cost_saving_yuan,cost_saving_percent,maximum_spill_excess_kw,maximum_power_balance_residual_kw,maximum_energy_transition_residual_kwh,objective_recalculation_error_yuan,period_count,simultaneous_charge_discharge_count,negative_grid_purchase_count,soc_chain_residual_kwh,minimum_action_kw,physical_invariants_pass
efficiency,0.8,efficiency_0.8,efficiency_0.8,12000,6000,1200,10800,5000,4293.9182,0.8,0.8,6000,0.64,PuLP CBC,Optimal,0.145132917,38223.65162,64053.86823,23644.155,15132.2592,0,1200,10800,10,90,6000,47,32,61789.9354,48052.04659,6247.962967,9828.394972,20.45364489,0,9.999999577e-06,0.000453333334,1.455191523e-11,144,0,0,0,0,True
efficiency,0.85,efficiency_0.85,efficiency_0.85,12000,6000,1200,10800,5000,4293.9182,0.85,0.85,6000,0.7225,PuLP CBC,Optimal,0.09057766601,36603.40648,61728.97512,22295.50518,16108.5025,0,1200,10800,10,90,6000,45,36,61789.9354,48052.04659,6247.962967,11448.64011,23.82549948,0,2.000000006e-05,0.0005808333335,0,144,0,0,0,0,True
efficiency,0.9,efficiency_0.9,efficiency_0.9,12000,6000,1200,10800,5000,4293.9182,0.9,0.9,6000,0.81,PuLP CBC,Optimal,0.08806712501,35126.94859,59482.699,20740.66613,16799.93957,0,1200,10800,10,90,6000,45,37,61789.9354,48052.04659,6247.962967,12925.098,26.89812176,0,4.000000001e-05,0.0004700000009,7.275957614e-12,144,0,0,0,0,True
efficiency,0.95,efficiency_0.95,efficiency_0.95,12000,6000,1200,10800,5000,4293.9182,0.95,0.95,6000,0.9025,PuLP CBC,Optimal,0.08445058297,33767.03263,57472.64312,19801.75043,17871.07977,0,1200,10800,10,90,6000,45,38,61789.9354,48052.04659,6247.962967,14285.01396,29.72821134,0,3.000000027e-05,0.0004958333338,0,144,0,0,0,0,True
