kappa,q42_planned_cost_yuan,q42_expected_emergency_cost_yuan,q42_realized_total_cost_yuan,q42_emergency_energy_kwh,q42_emergency_cost_yuan,q42_charge_energy_kwh,q42_discharge_energy_kwh,q42_final_soc_kwh,s2_realized_total_cost_yuan,s2_adjustment_cost_yuan,s2_emergency_energy_kwh,s2_emergency_cost_yuan,s2_charge_energy_kwh,s2_discharge_energy_kwh,s2_final_soc_kwh,s2_saving_yuan,s2_saving_rate,q42_cost_change_vs_kappa1_yuan,s2_cost_change_vs_kappa1_yuan,q42_emergency_change_vs_kappa1_kwh,s2_emergency_change_vs_kappa1_kwh,q42_solver_runtime_seconds,s2_solver_runtime_seconds,case_wall_runtime_seconds,audit_status
0.7500000000,13628895.2727647498,808097.3329519196,15627650.3683079109,488630.9873595021,1998755.0955431601,6896599.8350265361,5585007.6932659410,7375.7478950591,15204673.7553198636,33242.8032108591,371883.0046365996,1521568.1493038849,6942851.1834598277,5622515.3526001843,7326.7844469739,422976.6129880473,0.0270659122,79694.0119466335,7751.2826823834,92426.7145635539,69728.0948578058,877.5284908695,5131.8946297358,7126.8072526670,PASS
1.0000000000,13926450.7780729812,1090095.3576059607,15547956.3563612774,396204.2727959483,1621505.5782882967,6907483.9805590352,5593411.1268102005,7834.3304919752,15196922.4726374801,8799.9791383454,302154.9097787938,1238747.9890569816,6946991.7900697067,5625471.2101921439,7769.0441825754,351033.8837237973,0.0225774935,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1140.5824092999,3961.9121260993,0.0000000000,PASS
1.2500000000,14225424.3854509592,1378148.8756353417,15562639.4603735358,326820.0828803256,1337215.0749225800,6902915.7986661633,5589298.1769250575,8292.9111050389,15267529.3965393230,-11768.4561268322,250316.4180016163,1027374.3573807862,6934408.4631482800,5614881.7075179331,8210.1640357486,295110.0638342127,0.0189627257,14683.1040122584,70606.9239018429,-69384.1899156226,-51838.4917771776,846.2771839710,5079.6744273286,6995.2020187920,PASS
1.5000000000,14526637.7007943280,1671820.6192693079,15645241.3148980960,273059.2251138866,1118603.6141037652,6890237.0129847415,5578615.6380026415,8751.4916833324,15392374.6702288426,-29003.3628313402,210351.9576307079,865231.6691118698,6912417.4576328592,5596682.5127940774,8639.5865428209,252866.6446692534,0.0161625276,97284.9585368186,195452.1975913625,-123145.0476820617,-91802.9521480859,807.2327920392,4954.9286367978,6844.6137209170,PASS
