period,scope_type,scope_value,method,n,mae_kw,rmse_kw,bias_kw,nrmse_pct
calibration,lead_bin,19-24h,静态凸融合,216,66.1848319554,137.5617803325,-23.0660352174,2.2117730909
calibration,lead_bin,19-24h,提前期分箱融合,216,66.6777296124,136.4133929076,-23.7830560397,2.1933088605
calibration,lead_bin,19-24h,发布时间分组融合,216,67.1960415761,138.6047488723,-23.6536085367,2.2285423545
calibration,lead_bin,19-24h,在线因果融合,216,68.0628686172,136.2312986528,-22.2558980318,2.1903810766
calibration,release_hour,0,官方预测,216,138.0778879630,310.7480614731,-41.6018962963,4.9577402690
calibration,release_hour,0,昨日同刻,216,97.9901041667,220.5905405248,-16.3314236111,3.5193481193
calibration,release_hour,0,上周同刻,216,107.1671875000,229.7917280098,-42.1671875000,3.6661458097
calibration,release_hour,0,七日同刻均值,216,73.2768849206,154.2845862761,-27.9781746032,2.4614889073
calibration,release_hour,0,静态凸融合,216,73.6789714003,152.8810328664,-29.6562746375,2.4390963194
calibration,release_hour,0,提前期分箱融合,216,72.8417332401,153.7091968125,-31.8864378493,2.4523090221
calibration,release_hour,0,发布时间分组融合,216,73.3222604420,152.3911612419,-29.0913551119,2.4312808040
calibration,release_hour,0,在线因果融合,216,83.4651765097,184.3208890325,-39.5600839649,2.9406944315
calibration,release_hour,6,官方预测,216,71.1026055556,166.6969179489,-23.3407888889,2.6595178709
calibration,release_hour,6,昨日同刻,216,97.9901041667,220.5905405248,-16.3314236111,3.5193481193
calibration,release_hour,6,上周同刻,216,107.1671875000,229.7917280098,-42.1671875000,3.6661458097
calibration,release_hour,6,七日同刻均值,216,73.2768849206,154.2845862761,-27.9781746032,2.4614889073
calibration,release_hour,6,静态凸融合,216,65.6086226665,138.4882995115,-27.4069652595,2.2094716087
calibration,release_hour,6,提前期分箱融合,216,50.5309418157,118.2573203226,-24.3139419892,1.8867022896
calibration,release_hour,6,发布时间分组融合,216,53.3307361886,117.7750405084,-25.8545228846,1.8790078955
calibration,release_hour,6,在线因果融合,216,68.1169277453,141.2059467879,-23.4778221858,2.2528295279
calibration,release_hour,12,官方预测,216,143.6656032407,388.5338317760,-0.0181939815,6.2470016887
calibration,release_hour,12,昨日同刻,216,98.3557291667,217.3104949846,-15.6206597222,3.4940046866
calibration,release_hour,12,上周同刻,216,102.9343750000,219.8816849822,-42.1746527778,3.5353453034
calibration,release_hour,12,七日同刻均值,216,72.8546626984,152.0675199454,-28.4570932540,2.4450021496
calibration,release_hour,12,静态凸融合,216,69.1744245722,144.7505738765,-24.9541357714,2.3273573766
calibration,release_hour,12,提前期分箱融合,216,51.5546247684,112.0908958312,-13.1047882153,1.8022420656
calibration,release_hour,12,发布时间分组融合,216,69.3195244165,144.7096734795,-25.1943766755,2.3266997637
calibration,release_hour,12,在线因果融合,216,71.2712613442,143.6275022720,-21.9366408415,2.3093001840
calibration,release_hour,18,官方预测,216,203.6508870370,474.0502838646,-32.9884259259,7.6219692640
calibration,release_hour,18,昨日同刻,216,92.3137152778,196.2524183271,-3.6911458333,3.1554245433
calibration,release_hour,18,上周同刻,216,101.8819444444,213.3533886854,-41.3861111111,3.4303807555
calibration,release_hour,18,七日同刻均值,216,70.4317956349,143.9834609504,-25.6454365079,2.3150234294
calibration,release_hour,18,静态凸融合,216,66.2697627499,140.4769394085,-26.5499082134,2.2586441796
calibration,release_hour,18,提前期分箱融合,216,66.2870017343,136.4780459309,-25.2508716243,2.1943483776
calibration,release_hour,18,发布时间分组融合,216,66.7701355936,138.7344792388,-26.2205891253,2.2306282110
calibration,release_hour,18,在线因果融合,216,70.8555994755,150.5348891306,-30.8265837657,2.4203599010
validation,overall,all,官方预测,1344,132.6604867560,313.9556312178,-2.1249276786,4.5007930359
validation,overall,all,昨日同刻,1344,128.1142857143,273.6222995246,-10.9482700893,3.9225840142
validation,overall,all,上周同刻,1344,139.0740234375,281.4742468905,-84.8120256696,4.0351476586
validation,overall,all,七日同刻均值,1344,103.4341358418,213.0540173982,-49.4227758291,3.0542915700
validation,overall,all,静态凸融合,1344,95.1918216573,195.9593045821,-43.5968699282,2.8092258450
validation,overall,all,提前期分箱融合,1344,83.7179342229,179.7938638422,-38.9589327529,2.5774819427
validation,overall,all,发布时间分组融合,1344,91.8584939935,190.5071528899,-42.1421968856,2.7310650989
validation,overall,all,在线因果融合,1344,103.4341358418,213.0540173982,-49.4227758291,3.0542915700
validation,daylight,actual_pv_gt_0,官方预测,616,289.4410620130,463.7432009755,-4.6362058442,6.6481119046
validation,daylight,actual_pv_gt_0,昨日同刻,616,279.5220779221,404.1669217642,-23.8871347403,5.7940405776
validation,daylight,actual_pv_gt_0,上周同刻,616,303.4342329545,415.7650166645,-185.0444196429,5.9603080994
validation,daylight,actual_pv_gt_0,七日同刻均值,616,225.6744782004,314.7016399282,-107.8315108998,4.5114876389
validation,daylight,actual_pv_gt_0,静态凸融合,616,207.6912472523,289.4510756674,-95.1204434796,4.1495015731
validation,daylight,actual_pv_gt_0,提前期分箱融合,616,182.6573110317,265.5731372313,-85.0013078245,3.8071931437
validation,daylight,actual_pv_gt_0,发布时间分组融合,616,200.4185323495,281.3977138973,-91.9466113867,4.0340504998
validation,daylight,actual_pv_gt_0,在线因果融合,616,225.6744782004,314.7016399282,-107.8315108998,4.5114876389
validation,lead_bin,1-3h,官方预测,168,30.8448255952,60.8664835275,-5.2185101190,0.8830155632
validation,lead_bin,1-3h,昨日同刻,168,144.8495535714,291.0140364746,-12.3334821429,4.2218624838
validation,lead_bin,1-3h,上周同刻,168,142.9506696429,281.8178325136,-81.3243303571,4.0884493022
validation,lead_bin,1-3h,七日同刻均值,168,113.3075573980,225.6884227133,-49.6259885204,3.2741564511
validation,lead_bin,1-3h,静态凸融合,168,99.7655229654,197.6158441156,-44.1561035134,2.8668957985
validation,lead_bin,1-3h,提前期分箱融合,168,31.3321831336,59.0510795123,-10.9458022409,0.8566787370
