schedule,release_hours,risk_setting,settlement_mode,formal_days,solver_success,planned_purchase_energy_kwh,planned_purchase_cost_yuan,model_expected_operating_cost_yuan,adjustment_energy_kwh,adjustment_increase_energy_kwh,adjustment_decrease_energy_kwh,adjustment_cost_yuan,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,emergency_interval_count,emergency_interval_rate,emergency_days,adjusted_interval_count,battery_throughput_kwh,mean_soc_kwh,minimum_soc_kwh,maximum_soc_kwh,final_soc_kwh,solver_runtime_seconds,maximum_scenario_power_balance_residual_kw
S0,0,lambda=0 expected-cost,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,21813861.4023745544,13335360.4573432151,14387554.2100639232,0.0000000000,0.0000000000,0.0000000000,0.0000000000,366345.3125340110,1392610.1390874623,14727970.5964306761,10391,0.2160470725,332,0,11961878.7161200121,7352.8283344655,1200.0000000000,10800.0000000000,7834.3287696161,1413.7221614002,0.0000000005
S1,"0,6",lambda=0 expected-cost,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,21833071.4557497874,13343577.2660565674,14395802.3482900914,58627.6053133628,33542.0953732404,25085.5099401224,22736.3786636820,332290.9961758725,1266536.1500109856,14632849.7947312351,9951,0.2068987026,332,1787,11993554.2844042312,7341.9234968657,1200.0000000000,10800.0000000000,7787.6609676955,2723.1836154002,0.0000000000
S2,"0,6,12",lambda=0 expected-cost,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,21833872.3612338491,13343919.3644679245,14396144.4467014465,293363.9017124427,65098.4417461135,228265.4599663293,1433.5717289768,302254.5357139235,1160147.7954162753,14505500.7316131759,9640,0.2004324684,331,3241,12023747.9379956983,7312.7470460581,1200.0000000000,10800.0000000000,7781.2213970213,3373.8330848996,0.0000000001
S3,"0,6,12,18",lambda=0 expected-cost,SEQUENTIAL_PREVIOUS_COMMITMENT,334,334,21836446.8076302670,13345030.6183562912,14397255.7005898114,295374.3914993501,65319.6702589966,230054.7212403535,879.4515429528,302356.1800861714,1161808.0745504298,14507718.1444496680,9652,0.2006819694,331,3347,12027025.6788361073,7311.1741196217,1200.0000000000,10800.0000000000,7781.2213970213,3517.8223066996,0.0000000001
