release_hour,subset,n,mae_kw,rmse_kw,bias_kw,nrmse_pct
0,全部时段,8760,181.3132969635,370.5726500152,-25.5900432420,3.7072511072
0,光伏出力时段,4379,362.7094042932,524.1287029552,-51.1917741037,5.2434433956
6,全部时段,8754,97.4838274617,206.7382868659,-7.4705262280,2.0682334297
6,光伏出力时段,4379,194.8786082667,292.3053146601,-14.9342284997,2.9242557468
12,全部时段,8748,207.8655090078,560.9988797876,-36.4472371513,5.6122968550
12,光伏出力时段,4373,415.8260857078,793.4629316663,-72.9111435170,7.9378937755
18,全部时段,8742,259.8928429879,524.1959226507,-53.5796818806,5.2441158692
18,光伏出力时段,4368,520.1426816392,741.5795153438,-107.2329622253,7.4188461539
